country,nm_municipio,direction,pc_votos_validos,year,lat,lon
Panama,PANAMÁ-PAN,right,0.8396,2018,8.1057963,-80.9695749
Paraguay,ASSUNÇÃO,right,0.8041,2014,-25.2800459,-57.6343814
Paraguay,ASSUNÇÃO,right,0.8053,2018,-25.2800459,-57.6343814
Paraguay,ASSUNÇÃO,right,0.7437,2022,-25.2800459,-57.6343814
Paraguay,CIUDAD DEL ESTE,right,0.7828,2014,-25.5169015,-54.6168645
Paraguay,CIUDAD DEL ESTE,right,0.9192,2018,-25.5169015,-54.6168645
Paraguay,CIUDAD DEL ESTE,right,0.9195,2022,-25.5169015,-54.6168645
Paraguay,ENCARNACIÓN,right,0.625,2014,-27.2755836,-55.8750796
Paraguay,ENCARNACIÓN,right,0.8378,2018,-27.2755836,-55.8750796
Paraguay,ENCARNACIÓN,right,0.8832,2022,-27.2755836,-55.8750796
Paraguay,PEDRO JUAN CABALLERO,right,0.7143,2014,-22.5497781,-55.7384312
Paraguay,PEDRO JUAN CABALLERO,right,0.748,2018,-22.5497781,-55.7384312
Paraguay,PEDRO JUAN CABALLERO,right,0.7263,2022,-22.5497781,-55.7384312
Paraguay,SALTO DEL GUAIRÁ,right,0.8324,2014,-24.0616604,-54.305644
Paraguay,SALTO DEL GUAIRÁ,right,0.9532,2018,-24.0616604,-54.305644
Paraguay,SALTO DEL GUAIRÁ,right,0.9498,2022,-24.0616604,-54.305644
Peru,LIMA,right,0.7902,2014,-12.0621065,-77.0365256
Peru,LIMA,right,0.7397,2018,-12.0621065,-77.0365256
Peru,LIMA,right,0.578,2022,-12.0621065,-77.0365256
Philippines,MANILA,left,0.6333,2014,14.5904492,120.9803621
Philippines,MANILA,right,0.8261,2018,14.5904492,120.9803621
Philippines,MANILA,right,0.6071,2022,14.5904492,120.9803621
Poland,VARSÓVIA,right,0.6809,2014,52.2319581,21.0067249
Poland,VARSÓVIA,left,0.5065,2018,52.2319581,21.0067249
Poland,VARSÓVIA,left,0.7571,2022,52.2319581,21.0067249
Portugal,FARO,right,0.6235,2014,37.0162727,-7.9351771
Portugal,FARO,right,0.713,2018,37.0162727,-7.9351771
Portugal,FARO,left,0.52,2022,37.0162727,-7.9351771
Portugal,LISBOA,right,0.6517,2014,38.7077507,-9.1365919
Portugal,LISBOA,right,0.6441,2018,38.7077507,-9.1365919
Portugal,LISBOA,left,0.645,2022,38.7077507,-9.1365919
Portugal,PORTO,right,0.6753,2014,41.1494512,-8.6107884
Portugal,PORTO,right,0.6531,2018,41.1494512,-8.6107884
Portugal,PORTO,left,0.648,2022,41.1494512,-8.6107884
Qatar,DOHA,right,0.8606,2014,25.2856329,51.5264162
Qatar,DOHA,right,0.804,2018,25.2856329,51.5264162
Qatar,DOHA,right,0.5941,2022,25.2856329,51.5264162
Romania,BUCARESTE,right,0.7,2014,44.4361414,26.1027202
Romania,BUCARESTE,right,0.6667,2018,44.4361414,26.1027202
Romania,BUCARESTE,left,0.6667,2022,44.4361414,26.1027202
Russia,MOSCOU,right,0.6,2014,55.625578,37.6063916
Russia,MOSCOU,left,0.6047,2018,55.625578,37.6063916
Russia,MOSCOU,left,0.6667,2022,55.625578,37.6063916
Saudi Arabia,RIADE,right,0.5556,2014,23.333333,45.333333
Saudi Arabia,RIADE,right,0.6111,2018,23.333333,45.333333
Saudi Arabia,RIADE,left,0.6786,2022,23.333333,45.333333
Senegal,DACAR,right,0.6857,2014,14.693425,-17.447938
Senegal,DACAR,right,0.5714,2018,14.693425,-17.447938
Senegal,DACAR,left,0.5821,2022,14.693425,-17.447938
Serbia,BELGRADO,right,0.619,2014,44.8178131,20.4568974
Serbia,BELGRADO,left,0.6154,2018,44.8178131,20.4568974
Serbia,BELGRADO,left,0.75,2022,44.8178131,20.4568974
Singapore,SINGAPURA,left,0.6371,2022,1.2899175,103.8519072
Singapore,SINGAPURA-SING,right,0.9381,2014,1.2962018,103.7768977
Singapore,SINGAPURA-SING,right,0.7354,2018,1.2962018,103.7768977
Slovakia,BRATISLAVA,right,0.6341,2018,48.1516988,17.1093063
Slovakia,BRATISLAVA,left,0.6935,2022,48.1516988,17.1093063
Slovenia,LIUBLIANA,left,0.6316,2014,46.0500268,14.5069289
Slovenia,LIUBLIANA,left,0.5172,2018,46.0500268,14.5069289
