sg_uf,nm_municipio,nr_candidato,nm_urna_candidato,sg_partido,ds_sit_totalizacao,sg_ue,sq_candidato,nm_tipo_destinacao_votos,nm_regiao,pc_votos_validos,qt_votos_nom_validos,qt_votos_concorrentes
AL,JACUÍPE,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3506,1151,3283
AL,JAPARATINGA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.6272,2505,3994
AL,JAPARATINGA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.3728,1489,3994
AL,JARAMATAIA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.788,2461,3123
AL,JARAMATAIA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.212,662,3123
AL,JEQUIÁ DA PRAIA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6315,3170,5020
AL,JEQUIÁ DA PRAIA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3685,1850,5020
AL,JOAQUIM GOMES,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6582,5653,8588
AL,JOAQUIM GOMES,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3418,2935,8588
AL,JUNDIÁ,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.5861,1426,2433
AL,JUNDIÁ,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.4139,1007,2433
AL,JUNQUEIRO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6845,8443,12335
AL,JUNQUEIRO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3155,3892,12335
AL,LAGOA DA CANOA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7692,7774,10107
AL,LAGOA DA CANOA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2308,2333,10107
AL,LIMOEIRO DE ANADIA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7731,9069,11730
AL,LIMOEIRO DE ANADIA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2269,2661,11730
AL,MACEIÓ,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.5107,223476,437588
AL,MACEIÓ,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.4893,214112,437588
AL,MAJOR ISIDORO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7176,6952,9688
AL,MAJOR ISIDORO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2824,2736,9688
AL,MAR VERMELHO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7543,1655,2194
